bs4,Selenium,Scrapy
22.588909,51.334402,14.023608
21.081076,62.31786,19.832731
17.608823,197.038535,29.141474
21.054067,55.254649,14.298718
21.11957,49.442724,19.956682
19.263121,49.789736,28.649661
20.861941,50.113776,16.981202
20.641224,50.135767,13.947175
18.560842,58.860401,28.38082
20.989659,51.230949,15.171341
20.453591,49.747855,18.465039
18.49691,49.515545,28.600817
21.024091,49.304461,16.839148
22.851801,58.228742,23.535996
19.739495,51.518835,22.502272
23.105616,50.866223,20.426757
22.655524,51.522425,34.506726
18.639519,48.949292,16.614674
23.997596,72.208364,19.047138
29.2131,50.894801,24.07206
20.350744,50.653783,16.011762
22.85572,50.632849,22.357766
20.417156,50.168124,26.134986
20.113169,49.176981,20.119217
29.014841,59.253186,24.936586
18.275746,50.887206,21.108756
22.247247,49.048478,19.492593
25.984755,50.226703,32.14159
19.805578,48.817249,17.909364
22.899694,48.849489,19.417362
21.680533,61.081267,24.839079
